State,District,Market,Commodity,Variety,Grade,observations,start_date,end_date,calendar_span_days,median_gap_days,max_gap_days,consecutive_day_pairs,continuity_pct
Keralam,Kottayam,Thalayolaparambu Market,Cabbage,Cabbage,FAQ,216,2025-11-12,2026-09-03,296,1.0,8.0,172,80.0
Keralam,Malappuram,Parappanangadi Market,Cabbage,Other,FAQ,225,2025-12-01,2026-09-02,276,1.0,3.0,179,79.91071428571429
Keralam,Thiruvananthapuram,Aralamoodu Market,Cabbage,Cabbage,FAQ,220,2025-11-14,2026-09-03,294,1.0,7.0,175,79.90867579908677
Maharashtra,Kolhapur,APMC Kolhapur,Cabbage,Other,Local,244,2025-11-08,2026-09-03,300,1.0,3.0,194,79.83539094650206
Keralam,Thiruvananthapuram,Neyyatinkara Market,Cabbage,Other,FAQ,233,2025-11-11,2026-09-03,297,1.0,4.0,185,79.74137931034483
Keralam,Kottayam,Kanjirappally Market,Cabbage,Cabbage,FAQ,228,2025-11-16,2026-09-02,291,1.0,4.0,181,79.73568281938326
Maharashtra,Mumbai,APMC Mumbai,Cabbage,Other,Local,228,2025-11-10,2026-09-04,299,1.0,4.0,181,79.73568281938326
Telangana,Hyderabad,Mahboob Manison APMC,Cabbage,Cabbage,Medium,228,2025-11-10,2026-09-03,298,1.0,5.0,181,79.73568281938326
Punjab,Fazilka,Jalalabad APMC,Cabbage,Other,Medium,213,2025-11-10,2026-09-04,299,1.0,5.0,169,79.71698113207547
Maharashtra,Satara,APMC Satara,Cabbage,Other,Local,238,2025-11-09,2026-09-03,299,1.0,4.0,188,79.32489451476793
Maharashtra,Pune,Pune(Moshi),Cabbage,Other,Local,241,2025-11-08,2026-09-04,301,1.0,5.0,190,79.16666666666666
Keralam,Ernakulam,North Paravur Market,Cabbage,Cabbage,FAQ,217,2025-11-24,2026-09-03,284,1.0,7.0,171,79.16666666666666
Maharashtra,Satara,APMC Vai,Cabbage,Other,Local,226,2025-11-08,2026-09-02,299,1.0,5.0,178,79.11111111111111
Gujarat,Kheda,Nadiyad(Piplag) APMC,Cabbage,Cabbage,FAQ,240,2025-11-08,2026-09-03,300,1.0,4.0,189,79.07949790794979
Himachal Pradesh,Mandi,SMY Dhanotu,Cabbage,Cabbage,FAQ,235,2025-11-11,2026-09-03,297,1.0,6.0,185,79.05982905982906
Gujarat,Vadodara(Baroda),Padra APMC,Cabbage,Other,FAQ,233,2025-11-08,2026-09-03,300,1.0,7.0,183,78.87931034482759
Keralam,Palakad,Kollengode Market,Cabbage,Cabbage,FAQ,223,2025-11-08,2026-09-03,300,1.0,6.0,175,78.82882882882883
Keralam,Alappuzha,Harippad Market,Cabbage,Cabbage,FAQ,245,2025-11-08,2026-09-04,301,1.0,3.0,192,78.68852459016394
Haryana,Ambala,Naraingarh APMC,Cabbage,Cabbage,Medium,239,2025-11-08,2026-09-03,300,1.0,4.0,187,78.57142857142857
Himachal Pradesh,Mandi,PMY Kangni Mandi,Cabbage,Cabbage,Grade B,228,2025-11-12,2026-09-02,295,1.0,5.0,178,78.41409691629956
Maharashtra,Ahilyanagar,APMC Shrirampur,Cabbage,Other,Local,246,2025-11-08,2026-09-04,301,1.0,3.0,192,78.36734693877551
Himachal Pradesh,Kangra,PMY Kangra,Cabbage,Cabbage,FAQ,234,2025-11-11,2026-09-03,297,1.0,4.0,182,78.11158798283262
