model,split,MAE,RMSE,MAPE,Directional_Accuracy
Global Random Forest,train,176.3367320028649,281.2480813055536,13.00110679470104,29.59271222368023
Global Random Forest,validation,240.02017536550076,375.017715624315,58.84555737858568,27.24649978786593
Global Random Forest,test,265.40257157399265,437.00413326177426,49.81836342213644,27.581925503765518
