Model,Split,MAE,RMSE,MAPE,Directional_Accuracy
Global XGBoost,Train,116.10556712360908,212.79126324757715,6.74111606851757,31.665236701322296
Global XGBoost,Validation,154.0308373015464,282.14684422594866,29.468472236471072,28.539456936784045
Global XGBoost,Test,177.5504783940951,353.74396041151255,23.072148151650353,28.865255444738448
