Model,Split,MAE,RMSE,MAPE,Directional_Accuracy
Global Linear Regression,Train,121.84578024519361,234.65262564207413,6.703254299038906,29.289138992631475
Global Linear Regression,Validation,140.96628084114732,262.80639369466985,11.258451178842641,28.37929571489181
Global Linear Regression,Test,148.76554983188367,279.0001960391159,12.099074809699228,28.571137797679626
