State,District,Market,Commodity_Group,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Unit,Arrival_Quantity,Arrival_Unit,Date
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2025-12-11
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.22,Metric Tonnes,2025-12-12
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.21,Metric Tonnes,2025-12-13
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.24,Metric Tonnes,2025-12-14
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.19,Metric Tonnes,2025-12-15
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2025-12-16
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.21,Metric Tonnes,2025-12-17
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2025-12-18
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.22,Metric Tonnes,2025-12-19
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.22,Metric Tonnes,2025-12-20
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.24,Metric Tonnes,2025-12-21
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.21,Metric Tonnes,2025-12-22
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.16,Metric Tonnes,2025-12-23
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.18,Metric Tonnes,2025-12-24
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3800,3150,Rs./Quintal,0.21,Metric Tonnes,2025-12-25
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.22,Metric Tonnes,2025-12-26
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.24,Metric Tonnes,2025-12-27
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.26,Metric Tonnes,2025-12-28
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.25,Metric Tonnes,2025-12-29
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.26,Metric Tonnes,2025-12-30
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.25,Metric Tonnes,2025-12-31
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.21,Metric Tonnes,2026-01-01
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-01-02
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.25,Metric Tonnes,2026-01-03
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.26,Metric Tonnes,2026-01-04
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.25,Metric Tonnes,2026-01-05
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.24,Metric Tonnes,2026-01-06
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.26,Metric Tonnes,2026-01-07
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.24,Metric Tonnes,2026-01-08
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-01-09
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.21,Metric Tonnes,2026-01-10
