Date,Today's_Price,Actual_Next_Day_Price,Linear_Regression_Prediction,Absolute_Error
2026-07-25,3850,3850.0,4009.435090169588,159.43509016958797
2026-07-26,3850,3850.0,3997.8275623914233,147.82756239142327
2026-07-27,3850,3850.0,3916.393739800591,66.39373980059099
2026-07-28,3850,3850.0,3956.7252857542435,106.72528575424349
2026-07-29,3850,3850.0,3946.691752032866,96.69175203286613
2026-07-30,3850,3850.0,3952.7922240748712,102.79222407487123
2026-07-31,3850,3850.0,3946.8640403331046,96.86404033310464
2026-08-01,3850,3850.0,3947.0918792229813,97.09187922298133
2026-08-02,3850,3850.0,3960.957431724526,110.95743172452603
2026-08-03,3850,3250.0,3920.356460254816,670.3564602548158
2026-08-04,3250,3250.0,3382.203035028311,132.2030350283112
2026-08-05,3250,3250.0,3371.361248771552,121.3612487715518
2026-08-06,3250,3250.0,3356.5437211286553,106.5437211286553
2026-08-07,3250,3250.0,3379.765166044991,129.76516604499102
2026-08-08,3250,3250.0,3419.614323364047,169.61432336404687
2026-08-09,3250,3250.0,3460.777147912934,210.7771479129342
2026-08-10,3250,3250.0,3432.6306871496554,182.6306871496554
2026-08-11,3250,3250.0,3354.632241577141,104.63224157714103
2026-08-12,3250,3250.0,3421.3811768565274,171.38117685652742
2026-08-13,3250,3250.0,3397.5351546834063,147.5351546834063
2026-08-14,3250,3250.0,3379.53132238725,129.53132238724993
2026-08-15,3250,3750.0,3386.6052198938633,363.39478010613675
2026-08-16,3750,3250.0,3808.725064193063,558.7250641930632
2026-08-17,3250,3250.0,3309.5097984974864,59.50979849748637
2026-08-18,3250,3250.0,3301.1522776436323,51.15227764363226
2026-08-19,3250,3250.0,3285.753368786688,35.75336878668804
2026-08-20,3250,3850.0,3279.359149656704,570.6408503432958
2026-08-21,3850,3850.0,3844.928957618369,5.071042381630832
2026-08-22,3850,3750.0,3890.479461859143,140.47946185914316
2026-08-23,3750,3750.0,3945.5928900552844,195.59289005528444
2026-08-24,3750,3750.0,3738.607417028321,11.392582971679076
2026-08-25,3750,3750.0,3789.082476123288,39.08247612328796
2026-08-26,3750,3750.0,3772.8609242591374,22.86092425913739
2026-08-27,3750,3750.0,3771.24173228611,21.241732286110164
2026-08-28,3750,3750.0,3920.165113065228,170.16511306522807
2026-08-29,3750,3750.0,3871.4613372886097,121.46133728860968
2026-08-30,3750,3750.0,3846.9199915795725,96.91999157957252
2026-08-31,3750,3750.0,3803.484279124811,53.48427912481111
2026-09-01,3750,3750.0,3803.1121829501662,53.11218295016624
2026-09-02,3750,3250.0,3815.5057879082024,565.5057879082024
2026-09-03,3250,3250.0,3352.9469482580753,102.94694825807528
