Model,Split,MAE,RMSE,MAPE,Directional_Accuracy
Global XGBoost Reduced,Train,115.85456062001923,213.67079591283772,6.741621898570347,31.688200262440695
Global XGBoost Reduced,Validation,152.75660101971891,274.1821635978334,19.58543681264816,28.46945269410267
Global XGBoost Reduced,Test,159.48715936609133,293.0531516306526,18.167368499747184,28.772644005699167
