Model,Split,MAE,RMSE,MAPE,Directional_Accuracy
Naive,Train,108.04769102654689,249.6802817773326,5.794285682256596,53.755677803573235
Naive,Validation,124.3280441238863,278.88942517860573,7.050195339678478,54.72210436996181
Naive,Test,130.0847140240179,294.16623031269415,7.158014296356745,54.119682475066156
